GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
37	"Abbeville, LA Urban Cluster"	C	29222239	300496	11.283	0.116	29.967224	-92.096238
64	"Abbeville, SC Urban Cluster"	C	11271121	19786	4.352	0.008	34.179237	-82.379726
91	"Abbotsford, WI Urban Cluster"	C	5363429	13221	2.071	0.005	44.948612	-90.315875
118	"Aberdeen, MS Urban Cluster"	C	7416532	52820	2.864	0.02	33.824742	-88.554591
145	"Aberdeen, SD Urban Cluster"	C	33124146	120864	12.789	0.047	45.463186	-98.471033
172	"Aberdeen, WA Urban Cluster"	C	39997935	1929704	15.443	0.745	46.976365	-123.796056
199	"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area"	U	339660104	9826387	131.144	3.794	39.508976	-76.303431
226	"Abernathy, TX Urban Cluster"	C	3059834	12572	1.181	0.005	33.830523	-101.846278
253	"Abilene, KS Urban Cluster"	C	8773261	1877	3.387	0.001	38.92106	-97.220754
280	"Abilene, TX Urbanized Area"	U	141767010	988193	54.737	0.382	32.428784	-99.747194
334	"Abingdon, IL Urban Cluster"	C	3739679	0	1.444	0	40.804175	-90.401522
388	"Ada, OH Urban Cluster"	C	4752598	0	1.835	0	40.767227	-83.824659
415	"Ada, OK Urban Cluster"	C	30913537	89141	11.936	0.034	34.774803	-96.669103
450	"Adams, NY Urban Cluster"	C	5100412	13914	1.969	0.005	43.808664	-76.021178
469	"Adel, GA Urban Cluster"	C	15656519	192796	6.045	0.074	31.145731	-83.429099
496	"Adel, IA Urban Cluster"	C	4596484	0	1.775	0	41.612188	-94.021031
550	"Adjuntas, PR Urban Cluster"	C	20440931	156184	7.892	0.06	18.166604	-66.729934
577	"Adrian, MI Urban Cluster"	C	62205024	614809	24.017	0.237	41.914128	-84.049721
604	"Agat, GU Urban Cluster"	C	12699268	2939	4.903	0.001	13.39108	144.669527
631	"Aguadilla--Isabela--San Sebastián, PR Urbanized Area"	U	619708726	900690	239.271	0.348	18.370709	-67.040996
658	"Ahoskie, NC Urban Cluster"	C	7548519	0	2.914	0	36.287867	-76.983286
676	"Air Force Academy, CO Urban Cluster"	C	6458441	0	2.494	0	38.985935	-104.858324
712	"Ajo, AZ Urban Cluster"	C	6906720	0	2.667	0	32.388728	-112.868912
739	"Akron, NY Urban Cluster"	C	6779977	0	2.618	0	43.020471	-78.493346
766	"Akron, OH Urbanized Area"	U	842787790	17396157	325.402	6.717	41.066225	-81.491897
793	"Alachua, FL Urban Cluster"	C	9780469	31222	3.776	0.012	29.791204	-82.507945
820	"Alamogordo, NM Urban Cluster"	C	42873363	54166	16.553	0.021	32.902756	-105.949613
847	"Alamosa, CO Urban Cluster"	C	18820656	39885	7.267	0.015	37.459931	-105.872135
901	"Albany, GA Urbanized Area"	U	183487063	2790603	70.845	1.077	31.591097	-84.168827
921	"Albany, MN Urban Cluster"	C	4336929	285660	1.674	0.11	45.630888	-94.569355
955	"Albany, OR Urbanized Area"	U	61927886	299240	23.91	0.116	44.63009	-123.090051
970	"Albany--Schenectady, NY Urbanized Area"	U	765869473	16259488	295.704	6.278	42.743848	-73.799447
982	"Albemarle, NC Urban Cluster"	C	44466747	63396	17.169	0.024	35.369088	-80.196358
1009	"Albert Lea, MN Urban Cluster"	C	25516479	1396608	9.852	0.539	43.654564	-93.373837
1036	"Albertville, AL Urban Cluster"	C	92829217	5174684	35.842	1.998	34.268074	-86.223507
1063	"Albia, IA Urban Cluster"	C	5597696	0	2.161	0	41.027003	-92.805176
1090	"Albion, MI Urban Cluster"	C	17102229	135557	6.603	0.052	42.252722	-84.75533
1117	"Albion, NY Urban Cluster"	C	7638316	0	2.949	0	43.245788	-78.193603
1144	"Albion, PA Urban Cluster"	C	7434016	56074	2.87	0.022	41.890344	-80.355166
